sample_id	cohort_source	broad_analysis_panel	provisional_genomic_lineage	figure_label	manuscript_wording	wording_tier	boundary_note	phylogeny_panel	best_current_public_species	best_current_public_fine_label	best_current_public_ani	public_distinct_species_ani_margin	best_direct_type_broad_group	best_direct_type_fine_label	best_direct_type_ani	type_distinct_broad_group_ani_margin	type_distinct_fine_label_ani_margin	label_status	included_in_updated_21	final_manuscript_wording	nearest_tree_public_accession	nearest_tree_public_reporting_label	nearest_tree_public_fine_label	nearest_tree_public_anchor_proximity_group	tree_context_consistency	lineage_mrca_ultrafast_bootstrap	provisional_analysis_label	best_public_reference	best_public_reporting_species	best_public_ani	best_public_query_af	nearest_distinct_public_species	nearest_distinct_public_reference	nearest_distinct_public_ani	public_distinct_species_ani_margin_ani	best_public_fine_label	best_public_fine_ani	nearest_distinct_public_fine_label	nearest_distinct_public_fine_ani	public_distinct_fine_label_ani_margin	best_type_anchor	best_type_broad_group	best_type_ani	best_type_query_af	nearest_distinct_type_anchor	nearest_distinct_type_broad_group	nearest_distinct_type_ani	type_distinct_broad_group_ani_margin_ani	best_type_fine_anchor	best_type_fine_label	best_type_fine_ani	nearest_distinct_type_fine_anchor	nearest_distinct_type_fine_label	nearest_distinct_type_fine_ani	type_distinct_fine_label_ani_margin_ani	above_95_percent_type_screen	above_96_percent_type_screen
Mi23	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.56750	0.04030	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.48050	0.39470	0.39470	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_056991915.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium paraintracellulare	context_supported	100.00	Mycobacterium intracellulare	GCF_056991895.1	Mycobacterium intracellulare	99.56750	0.97168	Mycobacterium paraintracellulare	GCF_016756275.1	99.52720	0.04030	Mycobacterium intracellulare	99.56750	Mycobacterium paraintracellulare	99.52720	0.04030	GCF_000276825.1	Mycobacterium paraintracellulare	99.48050	0.96069	GCF_000298095.1	Mycobacterium intracellulare	99.08580	0.39470	GCF_000276825.1	Mycobacterium paraintracellulare	99.48050	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	99.08580	0.39470	true	true
Mi24	directly_retained_original	M_colombiense	M_colombiense	M. colombiense	Mycobacterium colombiense	species_supported_public_and_type_anchor	public and type-anchor evidence concordant	colombiense_context	Mycobacterium colombiense	Mycobacterium colombiense	98.84080	6.73930	Mycobacterium colombiense	Mycobacterium colombiense	97.69110	10.15560	10.15560	final_analysis_label_after_context_tree_review	true	Mycobacterium colombiense	GCF_000661085.1	Mycobacterium colombiense	Mycobacterium colombiense	Mycobacterium colombiense	context_supported		Mycobacterium colombiense	GCF_000661085.1	Mycobacterium colombiense	98.84080	0.92197	Mycobacterium sp. MUNTM1	GCF_054660795.1	92.10150	6.73930	Mycobacterium colombiense	98.84080	Mycobacterium sp. MUNTM1	92.10150	6.73930	GCF_965137175.1	Mycobacterium colombiense	97.69110	0.82753	GCF_000298095.1	Mycobacterium intracellulare	87.53550	10.15560	GCF_965137175.1	Mycobacterium colombiense	97.69110	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	87.53550	10.15560	true	true
Mi25	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.56710	0.07960	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.47860	0.49320	0.49320	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_016756015.1	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	context_supported	100.00	Mycobacterium paraintracellulare	GCF_056992195.1	Mycobacterium intracellulare	99.56710	0.93507	Mycobacterium paraintracellulare	GCF_010731935.1	99.48750	0.07960	Mycobacterium intracellulare	99.56710	Mycobacterium paraintracellulare	99.48750	0.07960	GCF_000276825.1	Mycobacterium paraintracellulare	99.47860	0.92508	GCF_000298095.1	Mycobacterium intracellulare	98.98540	0.49320	GCF_000276825.1	Mycobacterium paraintracellulare	99.47860	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	98.98540	0.49320	true	true
Mi3	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.26950	0.12550	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.12700	0.17110	0.17110	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_056991935.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium paraintracellulare	context_supported	100.00	Mycobacterium paraintracellulare	GCF_056991935.1	Mycobacterium intracellulare	99.26950	0.96592	Mycobacterium paraintracellulare	GCF_010731935.1	99.14400	0.12550	Mycobacterium intracellulare	99.26950	Mycobacterium paraintracellulare	99.14400	0.12550	GCF_000276825.1	Mycobacterium paraintracellulare	99.12700	0.97180	GCF_000298095.1	Mycobacterium intracellulare	98.95590	0.17110	GCF_000276825.1	Mycobacterium paraintracellulare	99.12700	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	98.95590	0.17110	true	true
Mi30	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_TMI_lineage	MI: TMI	typical Mycobacterium intracellulare (TMI) genomic lineage	lineage_wording_preferred	typical-MI public/type context; tree confirmation required	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.98770	1.04180	Mycobacterium intracellulare	Mycobacterium intracellulare ATCC 13950	99.26060	0.77870	0.62840	final_analysis_label_after_context_tree_review	true	typical Mycobacterium intracellulare (TMI) genomic lineage	GCF_055794925.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium intracellulare	context_supported	100.00	Mycobacterium intracellulare	GCF_055794925.1	Mycobacterium intracellulare	99.98770	0.99086	Mycobacterium paraintracellulare	GCF_055794825.1	98.94590	1.04180	Mycobacterium intracellulare	99.98770	Mycobacterium paraintracellulare	98.94590	1.04180	GCF_000277125.1	Mycobacterium intracellulare	99.26060	0.97989	GCF_000276825.1	Mycobacterium paraintracellulare	98.48190	0.77870	GCF_000277125.1	Mycobacterium intracellulare ATCC 13950	99.26060	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	98.63220	0.62840	true	true
Mi31	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_TMI_lineage	MI: TMI	typical Mycobacterium intracellulare (TMI) genomic lineage	lineage_wording_preferred	typical-MI public/type context; tree confirmation required	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.61980	0.56200	Mycobacterium intracellulare	Mycobacterium intracellulare ATCC 13950	99.22910	0.62260	0.56330	final_analysis_label_after_context_tree_review	true	typical Mycobacterium intracellulare (TMI) genomic lineage	GCF_000277145.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium intracellulare	context_supported	100.00	Mycobacterium intracellulare	GCF_000277145.1	Mycobacterium intracellulare	99.61980	0.97194	Mycobacterium paraintracellulare	GCF_016755955.1	99.05780	0.56200	Mycobacterium intracellulare	99.61980	Mycobacterium paraintracellulare	99.05780	0.56200	GCF_000277125.1	Mycobacterium intracellulare	99.22910	0.95991	GCF_000276825.1	Mycobacterium paraintracellulare	98.60650	0.62260	GCF_000277125.1	Mycobacterium intracellulare ATCC 13950	99.22910	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	98.66580	0.56330	true	true
Mi32	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_chimaera_adjacent_lineage	MI: chimaera-adjacent	Mycobacterium intracellulare chimaera-adjacent public-context lineage	legacy_subgroup_context_only	public chimaera-adjacent placement with yongonense/typical-MI anchor proximity	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium chimaera legacy subgroup	99.98980	1.81500	Mycobacterium intracellulare	Mycobacterium intracellulare subsp. yongonense legacy anchor	98.30870	0.39410	0.20510	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare chimaera-adjacent public-context lineage	GCF_002292625.1	Mycobacterium intracellulare	Mycobacterium chimaera legacy subgroup	Mycobacterium intracellulare	context_supported		Mycobacterium intracellulare	GCF_002292625.1	Mycobacterium intracellulare	99.98980	0.99664	Mycobacterium paraintracellulare	GCF_055794825.1	98.17480	1.81500	Mycobacterium chimaera legacy subgroup	99.98980	Mycobacterium intracellulare	99.80220	0.18760	GCF_000418535.1	Mycobacterium intracellulare	98.30870	0.91541	GCF_000276825.1	Mycobacterium paraintracellulare	97.91460	0.39410	GCF_000418535.1	Mycobacterium intracellulare subsp. yongonense legacy anchor	98.30870	GCF_000277125.1	Mycobacterium intracellulare ATCC 13950	98.10360	0.20510	true	true
Mi4	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.59390	0.08840	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.50550	0.34310	0.34310	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_056991875.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium paraintracellulare	context_supported	100.00	Mycobacterium paraintracellulare	GCF_056992115.1	Mycobacterium intracellulare	99.59390	0.93488	Mycobacterium paraintracellulare	GCF_000276825.1	99.50550	0.08840	Mycobacterium intracellulare	99.59390	Mycobacterium paraintracellulare	99.50550	0.08840	GCF_000276825.1	Mycobacterium paraintracellulare	99.50550	0.95199	GCF_000298095.1	Mycobacterium intracellulare	99.16240	0.34310	GCF_000276825.1	Mycobacterium paraintracellulare	99.50550	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	99.16240	0.34310	true	true
Mi42	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.61670	0.08070	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.53600	0.43760	0.43760	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_010731935.1	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	context_supported	100.00	Mycobacterium paraintracellulare	GCF_056991895.1	Mycobacterium intracellulare	99.61670	0.96143	Mycobacterium paraintracellulare	GCF_000276825.1	99.53600	0.08070	Mycobacterium intracellulare	99.61670	Mycobacterium paraintracellulare	99.53600	0.08070	GCF_000276825.1	Mycobacterium paraintracellulare	99.53600	0.97136	GCF_000298095.1	Mycobacterium intracellulare	99.09840	0.43760	GCF_000276825.1	Mycobacterium paraintracellulare	99.53600	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	99.09840	0.43760	true	true
Mi8	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.51160	0.02100	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.44000	0.36240	0.36240	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_016756275.1	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	context_supported	100.00	Mycobacterium intracellulare	GCF_056992195.1	Mycobacterium intracellulare	99.51160	0.93590	Mycobacterium paraintracellulare	GCF_016756275.1	99.49060	0.02100	Mycobacterium intracellulare	99.51160	Mycobacterium paraintracellulare	99.49060	0.02100	GCF_000276825.1	Mycobacterium paraintracellulare	99.44000	0.93813	GCF_000298095.1	Mycobacterium intracellulare	99.07760	0.36240	GCF_000276825.1	Mycobacterium paraintracellulare	99.44000	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	99.07760	0.36240	true	true
Mix16B	directly_retained_original	M_intracellulare_complex	MI_yongonense_chimaera_boundary	MI: yongonense/chimaera boundary	Mycobacterium intracellulare yongonense/chimaera boundary lineage	legacy_subgroup_boundary_wording_required	fine-anchor margin below 0.15 percentage points	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	98.54790	0.57410	Mycobacterium intracellulare	Mycobacterium intracellulare subsp. yongonense legacy anchor	98.26830	0.31630	0.06230	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare yongonense/chimaera boundary lineage	GCF_040408715.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium intracellulare	context_supported		Mycobacterium intracellulare	GCF_040408675.1	Mycobacterium intracellulare	98.54790	0.89790	Mycobacterium paraintracellulare	GCF_002104735.1	97.97380	0.57410	Mycobacterium intracellulare	98.54790	Mycobacterium yongonense legacy subgroup	98.42020	0.12770	GCF_000418535.1	Mycobacterium intracellulare	98.26830	0.91295	GCF_000276825.1	Mycobacterium paraintracellulare	97.95200	0.31630	GCF_000418535.1	Mycobacterium intracellulare subsp. yongonense legacy anchor	98.26830	GCF_002219285.1	Mycobacterium intracellulare subsp. chimaera legacy anchor	98.20600	0.06230	true	true
